#Final resampeld spectrum with mask used for the fit
#
#Milky Way reddening already corrected
#
#Four columns
#1. lambda   2. flux   3. error   4. mask
#
   1136.0000  4.607127e+00  3.254552e-01                     0
   1136.4000  4.621121e+00  3.220238e-01                     0
   1136.8000  6.639581e+00  3.596220e-01                     0
   1137.2000  8.584575e+00  3.937846e-01                     0
   1137.6000  8.259950e+00  3.919933e-01                     0
   1138.0000  5.945323e+00  3.454614e-01                     0
   1138.4000  5.624633e+00  3.095115e-01                     0
   1138.8000  6.582400e+00  3.627252e-01                     0
   1139.2000  7.105803e+00  3.634020e-01                     0
   1139.6000  7.106217e+00  3.660042e-01                     0
   1140.0000  4.681733e+00  3.170215e-01                     0
   1140.4000  4.866863e+00  3.260293e-01                     0
   1140.8000  4.237195e+00  2.961295e-01                     0
   1141.2000  4.406888e+00  3.105874e-01                     0
   1141.6000  5.455136e+00  3.319036e-01                     0
   1142.0000  5.852945e+00  3.411845e-01                     0
   1142.4000  5.549751e+00  3.249492e-01                     0
   1142.8000  4.273321e+00  3.085803e-01                     0
   1143.2000  2.957233e+00  2.630925e-01                     0
   1143.6000  4.805757e+00  2.961777e-01                     0
   1144.0000  3.340618e+00  2.759452e-01                     0
   1144.4000  3.707786e+00  2.863621e-01                     0
   1144.8000  2.420904e+00  2.433344e-01                     0
   1145.2000  4.155031e+00  2.978245e-01                     0
   1145.6000  4.507834e+00  3.030122e-01                     0
   1146.0000  4.129720e+00  2.899214e-01                     0
   1146.4000  3.241931e+00  2.664709e-01                     0
   1146.8000  3.171691e+00  2.563384e-01                     0
   1147.2000  5.162074e+00  3.095855e-01                     1
   1147.6000  6.577039e+00  3.410574e-01                     1
   1148.0000  6.649969e+00  3.415485e-01                     1
   1148.4000  7.743994e+00  3.541573e-01                     1
   1148.8000  7.167440e+00  3.455656e-01                     1
   1149.2000  6.449326e+00  3.340428e-01                     1
   1149.6000  6.763591e+00  3.355407e-01                     1
   1150.0000  6.957178e+00  3.393642e-01                     1
   1150.4000  7.608641e+00  3.526956e-01                     1
   1150.8000  7.425369e+00  3.460042e-01                     1
   1151.2000  6.547827e+00  3.271285e-01                     1
   1151.6000  6.949257e+00  3.335164e-01                     1
   1152.0000  7.256246e+00  3.219256e-01                     1
   1152.4000  5.746788e+00  3.110991e-01                     1
   1152.8000  5.421260e+00  3.096696e-01                     1
   1153.2000  7.606894e+00  3.495495e-01                     1
   1153.6000  7.522352e+00  3.429595e-01                     1
   1154.0000  6.037140e+00  3.199803e-01                     1
   1154.4000  5.955520e+00  3.174770e-01                     1
   1154.8000  6.475730e+00  3.211279e-01                     1
   1155.2000  6.133633e+00  2.957904e-01                     1
   1155.6000  4.890248e+00  2.935712e-01                     1
   1156.0000  5.538198e+00  3.054070e-01                     1
   1156.4000  5.462640e+00  3.046956e-01                     1
   1156.8000  5.115202e+00  2.984859e-01                     1
   1157.2000  5.718347e+00  3.050358e-01                     1
   1157.6000  4.913594e+00  2.897902e-01                     1
   1158.0000  5.476329e+00  3.048307e-01                     1
   1158.4000  5.983362e+00  3.113987e-01                     1
   1158.8000  6.652830e+00  3.207258e-01                     1
   1159.2000  6.252454e+00  3.181907e-01                     1
   1159.6000  4.178725e+00  2.761467e-01                     1
   1160.0000  5.118584e+00  2.874986e-01                     1
   1160.4000  7.414512e+00  3.190650e-01                     1
   1160.8000  6.210170e+00  3.153526e-01                     1
   1161.2000  5.814830e+00  3.031614e-01                     1
   1161.6000  6.018576e+00  3.093854e-01                     1
   1162.0000  5.803217e+00  3.062568e-01                     1
   1162.4000  6.777599e+00  3.193629e-01                     1
   1162.8000  5.770734e+00  3.013000e-01                     1
   1163.2000  4.798841e+00  2.811802e-01                     1
   1163.6000  6.222873e+00  2.850281e-01                     1
   1164.0000  6.582340e+00  3.087616e-01                     1
   1164.4000  6.440291e+00  3.150540e-01                     1
   1164.8000  6.468940e+00  3.135644e-01                     1
   1165.2000  6.698555e+00  3.147596e-01                     1
   1165.6000  7.459417e+00  3.323605e-01                     1
   1166.0000  7.609216e+00  3.333548e-01                     1
   1166.4000  7.122903e+00  3.205827e-01                     1
   1166.8000  6.438984e+00  3.140908e-01                     1
   1167.2000  6.061105e+00  3.065999e-01                     1
   1167.6000  5.388665e+00  2.889784e-01                     1
   1168.0000  5.114506e+00  2.878862e-01                     1
   1168.4000  5.292065e+00  2.868062e-01                     1
   1168.8000  5.597454e+00  2.752128e-01                     1
   1169.2000  5.592806e+00  2.932962e-01                     1
   1169.6000  5.474751e+00  2.946422e-01                     1
   1170.0000  5.265664e+00  2.865210e-01                     1
   1170.4000  5.464588e+00  2.894736e-01                     1
   1170.8000  5.143348e+00  2.865218e-01                     1
   1171.2000  4.394459e+00  2.683214e-01                     1
   1171.6000  4.777296e+00  2.736216e-01                     1
   1172.0000  4.614082e+00  2.548996e-01                     1
   1172.4000  4.015152e+00  2.590596e-01                     1
   1172.8000  3.914639e+00  2.566772e-01                     1
   1173.2000  3.622963e+00  2.558544e-01                     1
   1173.6000  3.534714e+00  2.532955e-01                     1
   1174.0000  3.109665e+00  2.375453e-01                     1
   1174.4000  2.592541e+00  2.268561e-01                     1
   1174.8000  2.253724e+00  2.192179e-01                     1
   1175.2000  2.472215e+00  2.230767e-01                     1
   1175.6000  2.154745e+00  2.156693e-01                     1
   1176.0000  1.673362e+00  2.005637e-01                     1
   1176.4000  1.534030e+00  1.872587e-01                     1
   1176.8000  1.839897e+00  2.031676e-01                     1
   1177.2000  2.416550e+00  2.128410e-01                     1
   1177.6000  2.182202e+00  2.143219e-01                     1
   1178.0000  2.931734e+00  2.373500e-01                     1
   1178.4000  3.719958e+00  2.614747e-01                     1
   1178.8000  5.044761e+00  2.863184e-01                     1
   1179.2000  5.733948e+00  2.967195e-01                     1
   1179.6000  5.818590e+00  3.027552e-01                     1
   1180.0000  5.925871e+00  3.030351e-01                     1
   1180.4000  6.456301e+00  2.892596e-01                     1
   1180.8000  5.894835e+00  2.983666e-01                     1
   1181.2000  5.734715e+00  2.984040e-01                     1
   1181.6000  6.067124e+00  2.996877e-01                     1
   1182.0000  6.052323e+00  3.023372e-01                     1
   1182.4000  6.041455e+00  2.994048e-01                     1
   1182.8000  6.521795e+00  3.056189e-01                     1
   1183.2000  7.275316e+00  3.183322e-01                     1
   1183.6000  5.819934e+00  2.952815e-01                     1
   1184.0000  6.625856e+00  3.055945e-01                     1
   1184.4000  5.720077e+00  2.872069e-01                     1
   1184.8000  4.324801e+00  2.635458e-01                     1
   1185.2000  5.091192e+00  2.738964e-01                     1
   1185.6000  5.728459e+00  2.678523e-01                     1
   1186.0000  5.188567e+00  2.776756e-01                     1
   1186.4000  4.495223e+00  2.615671e-01                     1
   1186.8000  5.824877e+00  2.814909e-01                     1
   1187.2000  6.414973e+00  2.958743e-01                     1
   1187.6000  6.342002e+00  2.943502e-01                     1
   1188.0000  5.770555e+00  2.788355e-01                     1
   1188.4000  6.091843e+00  2.872670e-01                     1
   1188.8000  6.906797e+00  2.860199e-01                     1
   1189.2000  6.118785e+00  2.799405e-01                     0
   1189.6000  5.614411e+00  2.740045e-01                     0
   1190.0000  2.894403e+00  2.134338e-01                     0
   1190.4000  1.781418e+00  1.797693e-01                     0
   1190.8000  3.567396e+00  2.307030e-01                     0
   1191.2000  5.002012e+00  2.628337e-01                     0
   1191.6000  3.921812e+00  2.404899e-01                     0
   1192.0000  6.031051e-01  1.159476e-01                     0
   1192.4000  1.134924e+00  1.556684e-01                     0
   1192.8000  2.807341e+00  2.141225e-01                     0
   1193.2000  1.591636e+00  1.675109e-01                     0
   1193.6000  4.996515e+00  2.505548e-01                     0
   1194.0000  5.675796e+00  2.520139e-01                     0
   1194.4000  3.821006e+00  2.298285e-01                     0
   1194.8000  1.206179e+00  1.502007e-01                     0
   1195.2000  2.383698e-01  9.222102e-02                     0
   1195.6000  2.125838e+00  1.865009e-01                     0
   1196.0000  3.729066e+00  2.274885e-01                     0
   1196.4000  4.667440e+00  2.460307e-01                     0
   1196.8000  5.949433e+00  2.637703e-01                     0
   1197.2000  7.036151e+00  2.616604e-01                     0
   1197.6000  7.834282e+00  2.933147e-01                     0
   1198.0000  7.107951e+00  2.836427e-01                     0
   1198.4000  6.308571e+00  2.697638e-01                     0
   1198.8000  5.077508e+00  2.513032e-01                     0
   1199.2000  2.503457e+00  1.971939e-01                     0
   1199.6000  3.048427e+00  2.042883e-01                     0
   1200.0000  1.752431e+00  1.706356e-01                     0
   1200.4000  2.180630e+00  1.875637e-01                     0
   1200.8000  2.458632e+00  1.908165e-01                     0
   1201.2000  1.603910e+00  1.672895e-01                     0
   1201.6000  1.807566e+00  1.749834e-01                     0
   1202.0000  1.671050e+00  1.636185e-01                     0
   1202.4000  1.637404e+00  1.554960e-01                     0
   1202.8000  1.884245e+00  1.741764e-01                     0
   1203.2000  2.343867e+00  1.841484e-01                     0
   1203.6000  2.616733e+00  1.913062e-01                     0
   1204.0000  2.639830e+00  1.940479e-01                     0
   1204.4000  3.428784e+00  2.085400e-01                     0
   1204.8000  3.159638e+00  2.007390e-01                     0
   1205.2000  3.399913e+00  2.087935e-01                     0
   1205.6000  3.902907e+00  2.046561e-01                     0
   1206.0000  1.785551e+00  1.584156e-01                     0
   1206.4000  8.465930e-01  1.298012e-01                     0
   1206.8000  3.486688e+00  2.080332e-01                     0
   1207.2000  3.184543e+00  1.974617e-01                     0
   1207.6000  2.508388e+00  1.834626e-01                     0
   1208.0000  8.280456e-01  1.663653e-01                     0
   1208.4000  9.263174e-02  7.745556e-02                     0
   1208.8000  2.939599e+00  1.883732e-01                     0
   1209.2000  5.226191e+00  2.304111e-01                     0
   1209.6000  6.307481e+00  2.402867e-01                     0
   1210.0000  6.967174e+00  2.460947e-01                     0
   1210.4000  7.151854e+00  2.459063e-01                     0
   1210.8000  7.311863e+00  2.309013e-01                     0
   1211.2000  7.018974e+00  3.015095e-01                     0
   1211.6000  7.142135e+00  3.474345e-01                     0
   1212.0000  6.843832e+00  3.480243e-01                     0
   1212.4000  6.888030e+00  3.244763e-01                     0
   1212.8000  8.011647e+00  3.206554e-01                     0
   1213.2000  9.086056e+00  2.617762e-01                     0
   1213.6000  1.105748e+01  2.211496e-01                     0
   1214.0000  3.391177e+01  6.782355e-01                     0
   1214.4000  1.387157e+03  2.774313e+01                     0
   1214.8000  2.796642e+06  5.593283e+04                     0
   1215.2000  3.144137e+06  6.288273e+04                     0
   1215.6000  0.000000e+00  1.000000e+00                     0
   1216.0000  0.000000e+00  1.000000e+00                     0
   1216.4000  0.000000e+00  1.000000e+00                     0
   1216.8000  4.659527e+03  9.319054e+01                     0
   1217.2000  7.898037e+03  1.579607e+02                     0
   1217.6000  2.528011e+03  5.056022e+01                     0
   1218.0000  3.266367e+02  6.532734e+00                     0
   1218.4000  1.500304e+01  3.000609e-01                     0
   1218.8000  9.840775e+00  2.574523e-01                     0
   1219.2000  6.503919e+00  2.481058e-01                     0
   1219.6000  6.771309e+00  3.240560e-01                     0
   1220.0000  7.297915e+00  3.306971e-01                     0
   1220.4000  6.756119e+00  2.216881e-01                     0
   1220.8000  7.200817e+00  2.330680e-01                     0
   1221.2000  6.775828e+00  2.298585e-01                     0
   1221.6000  6.351004e+00  2.307954e-01                     0
   1222.0000  6.388209e+00  2.350699e-01                     0
   1222.4000  6.605271e+00  2.218642e-01                     0
   1222.8000  6.168208e+00  2.325035e-01                     0
   1223.2000  7.441863e+00  2.553792e-01                     0
   1223.6000  5.908209e+00  2.329691e-01                     0
   1224.0000  5.971799e+00  2.337488e-01                     0
   1224.4000  7.170413e+00  2.548242e-01                     0
   1224.8000  7.467193e+00  2.584098e-01                     0
   1225.2000  7.538560e+00  2.584932e-01                     0
   1225.6000  7.569815e+00  2.643352e-01                     0
   1226.0000  7.460514e+00  2.612756e-01                     0
   1226.4000  8.448832e+00  2.713215e-01                     0
   1226.8000  7.321644e+00  2.610657e-01                     0
   1227.2000  7.115596e+00  2.556718e-01                     1
   1227.6000  5.769306e+00  2.188245e-01                     1
   1228.0000  7.074695e+00  2.580945e-01                     1
   1228.4000  6.540114e+00  2.508187e-01                     1
   1228.8000  5.602793e+00  2.336639e-01                     1
   1229.2000  5.784177e+00  2.376426e-01                     1
   1229.6000  5.653539e+00  2.370081e-01                     1
   1230.0000  6.168885e+00  2.434875e-01                     1
   1230.4000  5.535583e+00  2.323926e-01                     1
   1230.8000  5.602804e+00  2.210557e-01                     1
   1231.2000  4.562756e+00  2.151837e-01                     1
   1231.6000  3.636751e+00  1.993749e-01                     1
   1232.0000  3.463852e+00  1.996103e-01                     1
   1232.4000  4.353819e+00  2.150579e-01                     1
   1232.8000  5.330757e+00  2.291971e-01                     1
   1233.2000  6.092539e+00  2.454647e-01                     1
   1233.6000  5.503207e+00  2.358794e-01                     1
   1234.0000  5.517844e+00  2.314105e-01                     1
   1234.4000  4.974775e+00  2.247868e-01                     1
   1234.8000  4.103159e+00  2.111908e-01                     1
   1235.2000  4.078184e+00  2.074448e-01                     1
   1235.6000  3.641988e+00  1.990773e-01                     1
   1236.0000  3.751975e+00  1.918365e-01                     1
   1236.4000  4.064069e+00  2.079089e-01                     1
   1236.8000  3.844369e+00  2.030585e-01                     1
   1237.2000  3.545735e+00  1.996749e-01                     1
   1237.6000  3.237425e+00  1.922390e-01                     1
   1238.0000  3.137409e+00  1.874502e-01                     1
   1238.4000  3.513272e+00  1.985558e-01                     1
   1238.8000  3.452385e+00  1.971595e-01                     1
   1239.2000  3.643510e+00  1.874742e-01                     0
   1239.6000  3.958365e+00  2.065091e-01                     0
   1240.0000  2.953886e+00  1.878267e-01                     0
   1240.4000  1.473845e+00  1.417221e-01                     0
   1240.8000  1.858570e+00  1.593192e-01                     0
   1241.2000  5.282316e+00  2.302617e-01                     0
   1241.6000  5.957831e+00  2.372473e-01                     1
   1242.0000  6.911969e+00  2.543100e-01                     1
   1242.4000  6.703710e+00  2.526589e-01                     1
   1242.8000  7.278567e+00  2.578818e-01                     1
   1243.2000  8.090676e+00  2.692340e-01                     1
   1243.6000  8.160606e+00  2.726026e-01                     0
   1244.0000  7.936159e+00  2.643962e-01                     0
   1244.4000  4.917748e+00  2.067215e-01                     0
   1244.8000  5.237559e+00  2.308175e-01                     0
   1245.2000  1.046951e+01  3.005736e-01                     1
   1245.6000  1.217380e+01  3.166076e-01                     1
   1246.0000  1.203688e+01  3.206959e-01                     1
   1246.4000  1.094011e+01  3.081254e-01                     1
   1246.8000  1.083146e+01  3.027274e-01                     1
   1247.2000  9.497420e+00  2.908903e-01                     1
   1247.6000  9.053259e+00  2.671784e-01                     1
   1248.0000  8.087955e+00  2.665569e-01                     1
   1248.4000  6.732844e+00  2.516163e-01                     1
   1248.8000  4.469226e+00  2.173777e-01                     1
   1249.2000  4.005305e+00  2.075280e-01                     1
   1249.6000  4.332372e+00  2.134588e-01                     1
   1250.0000  7.098561e+00  2.599237e-01                     1
   1250.4000  5.711696e+00  2.357225e-01                     1
   1250.8000  8.071859e+00  2.699020e-01                     1
   1251.2000  8.096824e+00  2.729808e-01                     0
   1251.6000  7.153835e+00  2.593423e-01                     0
   1252.0000  5.526647e+00  2.325412e-01                     0
   1252.4000  5.554214e+00  2.322985e-01                     0
   1252.8000  7.185617e+00  2.436888e-01                     0
   1253.2000  6.734095e+00  2.509871e-01                     0
   1253.6000  4.105359e+00  2.100460e-01                     0
   1254.0000  6.816916e+00  2.547736e-01                     0
   1254.4000  6.919411e+00  2.525695e-01                     0
   1254.8000  7.176926e+00  2.589032e-01                     0
   1255.2000  6.657580e+00  2.528232e-01                     0
   1255.6000  5.190727e+00  2.262291e-01                     0
   1256.0000  5.976122e+00  2.255870e-01                     0
   1256.4000  6.953946e+00  2.527622e-01                     0
   1256.8000  6.859723e+00  2.512600e-01                     0
   1257.2000  7.564921e+00  2.611050e-01                     1
   1257.6000  7.822725e+00  2.675053e-01                     1
   1258.0000  7.161715e+00  2.567958e-01                     1
   1258.4000  6.872331e+00  2.503585e-01                     0
   1258.8000  7.421731e+00  2.623320e-01                     0
   1259.2000  5.152281e+00  2.281017e-01                     0
   1259.6000  5.284302e+00  2.250772e-01                     0
   1260.0000  2.507073e+00  1.709442e-01                     0
   1260.4000  1.639114e+00  1.445017e-01                     0
   1260.8000  5.232212e+00  2.260750e-01                     0
   1261.2000  4.112142e+00  1.918438e-01                     0
   1261.6000  3.992461e+00  2.085442e-01                     0
   1262.0000  1.234623e+00  1.304034e-01                     0
   1262.4000  1.411027e-01  6.570730e-02                     0
   1262.8000  3.006895e+00  1.843754e-01                     0
   1263.2000  6.813236e+00  2.533999e-01                     0
   1263.6000  6.777795e+00  2.532761e-01                     1
   1264.0000  6.893491e+00  2.581390e-01                     0
   1264.4000  6.932176e+00  2.445853e-01                     0
   1264.8000  7.216818e+00  2.559502e-01                     0
   1265.2000  6.976010e+00  2.612145e-01                     0
   1265.6000  7.655202e+00  2.706321e-01                     0
   1266.0000  7.188527e+00  2.589601e-01                     0
   1266.4000  5.722937e+00  2.324423e-01                     0
   1266.8000  6.159330e+00  2.457300e-01                     0
   1267.2000  6.987535e+00  2.577016e-01                     0
   1267.6000  7.360508e+00  2.668899e-01                     0
   1268.0000  7.581343e+00  2.721980e-01                     0
   1268.4000  8.448416e+00  2.738035e-01                     0
   1268.8000  8.497680e+00  2.688481e-01                     0
   1269.2000  7.745047e+00  2.714354e-01                     0
   1269.6000  7.423856e+00  2.395793e-01                     0
   1270.0000  7.498497e+00  2.622003e-01                     0
   1270.4000  7.666862e+00  2.739204e-01                     0
   1270.8000  7.002891e+00  3.430515e-01                     0
   1271.2000  6.469130e+00  3.914780e-01                     0
   1271.6000  8.075842e+00  4.219659e-01                     0
   1272.0000  7.693871e+00  3.781108e-01                     0
   1272.4000  8.482446e+00  4.168273e-01                     0
   1272.8000  7.919718e+00  3.936950e-01                     0
   1273.2000  7.335160e+00  4.054590e-01                     0
   1273.6000  6.930715e+00  4.026864e-01                     0
   1274.0000  0.000000e+00  1.000000e+00                     0
   1274.4000  0.000000e+00  1.000000e+00                     0
   1274.8000  0.000000e+00  1.000000e+00                     0
   1275.2000  0.000000e+00  1.000000e+00                     0
   1275.6000  0.000000e+00  1.000000e+00                     0
   1276.0000  0.000000e+00  1.000000e+00                     0
   1276.4000  0.000000e+00  1.000000e+00                     0
   1276.8000  0.000000e+00  1.000000e+00                     0
   1277.2000  0.000000e+00  1.000000e+00                     0
   1277.6000  0.000000e+00  1.000000e+00                     0
   1278.0000  0.000000e+00  1.000000e+00                     0
   1278.4000  0.000000e+00  1.000000e+00                     0
   1278.8000  0.000000e+00  1.000000e+00                     0
   1279.2000  0.000000e+00  1.000000e+00                     0
   1279.6000  0.000000e+00  1.000000e+00                     0
   1280.0000  0.000000e+00  1.000000e+00                     0
   1280.4000  0.000000e+00  1.000000e+00                     0
   1280.8000  0.000000e+00  1.000000e+00                     0
   1281.2000  0.000000e+00  1.000000e+00                     0
   1281.6000  0.000000e+00  1.000000e+00                     0
   1282.0000  0.000000e+00  1.000000e+00                     0
   1282.4000  0.000000e+00  1.000000e+00                     0
   1282.8000  0.000000e+00  1.000000e+00                     0
   1283.2000  0.000000e+00  1.000000e+00                     0
   1283.6000  0.000000e+00  1.000000e+00                     0
   1284.0000  0.000000e+00  1.000000e+00                     0
   1284.4000  0.000000e+00  1.000000e+00                     0
   1284.8000  0.000000e+00  1.000000e+00                     0
   1285.2000  0.000000e+00  1.000000e+00                     0
   1285.6000  0.000000e+00  1.000000e+00                     0
   1286.0000  0.000000e+00  1.000000e+00                     0
   1286.4000  0.000000e+00  1.000000e+00                     0
   1286.8000  0.000000e+00  1.000000e+00                     0
   1287.2000  0.000000e+00  1.000000e+00                     0
   1287.6000  0.000000e+00  1.000000e+00                     0
   1288.0000  4.908305e+00  3.486993e-01                     0
   1288.4000  5.466166e+00  3.856620e-01                     0
   1288.8000  5.683702e+00  3.889843e-01                     0
   1289.2000  6.029285e+00  4.000113e-01                     0
   1289.6000  6.837710e+00  4.228513e-01                     0
   1290.0000  7.714690e+00  4.399411e-01                     0
   1290.4000  0.000000e+00  1.000000e+00                     0
   1290.8000  7.676242e+00  3.759973e-01                     0
   1291.2000  8.022990e+00  2.898230e-01                     0
   1291.6000  7.220748e+00  2.759856e-01                     0
   1292.0000  6.376075e+00  2.678199e-01                     0
   1292.4000  8.126886e+00  2.944157e-01                     0
   1292.8000  6.733327e+00  2.706549e-01                     0
   1293.2000  5.445831e+00  2.538405e-01                     1
   1293.6000  6.209619e+00  3.329005e-01                     1
   1294.0000  6.972422e+00  2.755057e-01                     1
   1294.4000  7.333136e+00  2.839732e-01                     1
   1294.8000  7.603608e+00  2.897964e-01                     1
   1295.2000  6.243844e+00  2.624065e-01                     1
   1295.6000  5.583903e+00  2.381005e-01                     1
   1296.0000  4.943918e+00  2.468158e-01                     1
   1296.4000  3.599446e+00  2.177881e-01                     1
   1296.8000  4.217865e+00  2.311539e-01                     1
   1297.2000  5.858117e+00  2.641034e-01                     1
   1297.6000  6.151898e+00  2.686838e-01                     1
   1298.0000  4.980814e+00  2.466071e-01                     1
   1298.4000  3.272613e+00  2.146017e-01                     1
   1298.8000  3.038522e+00  1.928416e-01                     1
   1299.2000  5.362622e+00  2.500002e-01                     0
   1299.6000  5.754444e+00  2.645933e-01                     0
   1300.0000  5.373423e+00  2.587001e-01                     0
   1300.4000  3.940729e+00  2.269049e-01                     0
   1300.8000  2.814013e+00  2.046724e-01                     0
   1301.2000  4.233870e+00  2.358083e-01                     0
   1301.6000  9.543981e+00  3.179346e-01                     0
   1302.0000  1.295995e+01  3.634391e-01                     0
   1302.4000  1.366242e+01  3.748981e-01                     0
   1302.8000  5.770226e+00  2.621913e-01                     0
   1303.2000  2.861121e+00  2.056787e-01                     0
   1303.6000  2.666725e+00  2.020961e-01                     0
   1304.0000  1.010459e+00  1.354079e-01                     0
   1304.4000  6.577767e+00  2.779333e-01                     0
   1304.8000  1.223727e+01  3.605684e-01                     0
   1305.2000  8.030471e+00  3.130962e-01                     0
   1305.6000  6.995510e+00  3.409363e-01                     0
   1306.0000  5.781388e+00  2.678915e-01                     0
   1306.4000  3.523777e+00  2.259529e-01                     0
   1306.8000  4.319597e+00  2.359920e-01                     0
   1307.2000  5.868906e+00  2.550127e-01                     0
   1307.6000  6.169703e+00  2.768142e-01                     0
   1308.0000  6.562972e+00  2.784454e-01                     0
   1308.4000  6.705911e+00  2.834823e-01                     0
   1308.8000  7.863226e+00  3.879266e-01                     0
   1309.2000  8.477658e+00  3.093046e-01                     0
   1309.6000  8.389034e+00  3.084722e-01                     0
   1310.0000  8.313567e+00  3.106189e-01                     0
   1310.4000  7.849344e+00  3.020494e-01                     0
   1310.8000  6.265614e+00  2.748234e-01                     0
   1311.2000  6.064164e+00  2.759503e-01                     0
   1311.6000  6.679163e+00  2.850439e-01                     0
   1312.0000  7.972521e+00  2.914182e-01                     1
   1312.4000  9.080094e+00  3.075481e-01                     1
   1312.8000  8.498521e+00  3.152844e-01                     1
   1313.2000  8.377671e+00  3.087229e-01                     1
   1313.6000  7.636223e+00  3.016994e-01                     1
   1314.0000  7.283148e+00  2.970548e-01                     1
   1314.4000  5.676671e+00  2.656517e-01                     1
   1314.8000  5.913948e+00  2.731814e-01                     1
   1315.2000  7.729133e+00  2.978280e-01                     1
   1315.6000  9.069924e+00  2.991191e-01                     1
   1316.0000  8.828170e+00  3.157524e-01                     1
   1316.4000  7.178174e+00  2.946133e-01                     1
   1316.8000  5.793083e+00  2.691516e-01                     1
   1317.2000  6.063026e+00  2.725468e-01                     1
   1317.6000  7.520535e+00  3.001953e-01                     1
   1318.0000  6.739843e+00  2.857169e-01                     1
   1318.4000  7.005314e+00  2.878775e-01                     1
   1318.8000  7.573187e+00  3.013989e-01                     1
   1319.2000  7.440808e+00  2.990148e-01                     1
   1319.6000  7.258772e+00  2.926753e-01                     1
   1320.0000  7.698211e+00  3.040067e-01                     1
   1320.4000  7.867262e+00  2.905022e-01                     1
   1320.8000  7.475640e+00  2.839621e-01                     1
   1321.2000  6.787205e+00  2.884073e-01                     1
   1321.6000  8.025682e+00  3.088213e-01                     1
