#Final resampeld spectrum with mask used for the fit
#
#Milky Way reddening already corrected
#
#Four columns
#1. lambda   2. flux   3. error   4. mask
#
   1136.0000  3.757771e+00  1.545456e-01                     0
   1136.4000  4.138849e+00  1.611316e-01                     0
   1136.8000  3.415856e+00  1.491573e-01                     0
   1137.2000  4.317011e+00  1.665001e-01                     0
   1137.6000  4.128142e+00  1.602085e-01                     0
   1138.0000  4.321320e+00  1.696504e-01                     0
   1138.4000  4.944666e+00  1.638647e-01                     0
   1138.8000  5.343160e+00  1.727445e-01                     0
   1139.2000  5.507165e+00  1.853695e-01                     0
   1139.6000  4.662238e+00  1.737839e-01                     0
   1140.0000  4.838498e+00  1.711632e-01                     0
   1140.4000  4.976748e+00  1.775540e-01                     0
   1140.8000  5.366849e+00  1.803490e-01                     0
   1141.2000  5.531862e+00  1.845023e-01                     0
   1141.6000  5.840059e+00  1.870926e-01                     0
   1142.0000  4.731586e+00  1.766839e-01                     0
   1142.4000  4.392238e+00  1.659821e-01                     0
   1142.8000  4.445433e+00  1.639841e-01                     0
   1143.2000  4.143806e+00  1.572519e-01                     0
   1143.6000  4.177259e+00  1.673545e-01                     0
   1144.0000  3.910509e+00  1.613270e-01                     0
   1144.4000  3.725080e+00  1.604408e-01                     0
   1144.8000  3.310073e+00  1.533927e-01                     0
   1145.2000  3.117795e+00  1.467536e-01                     0
   1145.6000  4.452502e+00  1.703803e-01                     0
   1146.0000  4.349178e+00  1.693000e-01                     0
   1146.4000  4.364043e+00  1.662207e-01                     0
   1146.8000  4.337787e+00  1.603902e-01                     0
   1147.2000  3.513054e+00  1.510760e-01                     0
   1147.6000  3.738538e+00  1.562205e-01                     0
   1148.0000  3.960474e+00  1.601038e-01                     1
   1148.4000  3.706185e+00  1.580401e-01                     1
   1148.8000  3.925482e+00  1.593839e-01                     1
   1149.2000  3.890202e+00  1.576142e-01                     1
   1149.6000  3.898471e+00  1.598068e-01                     1
   1150.0000  3.690320e+00  1.559527e-01                     1
   1150.4000  3.741853e+00  1.555493e-01                     1
   1150.8000  3.581054e+00  1.554597e-01                     1
   1151.2000  4.053970e+00  1.561176e-01                     1
   1151.6000  4.817940e+00  1.640895e-01                     1
   1152.0000  4.750023e+00  1.728542e-01                     1
   1152.4000  5.039925e+00  1.769518e-01                     1
