,Galaxy,Cluster,Age,Metallicity,Beta,Chisq
0,NGC 1512,YSC1,1,v94_z020,4.055128664474345,4061.771304495017
1,NGC 1512,YSC1,1,v94_z040,4.055128664474345,5040.099502618214
2,NGC 1512,YSC2,1,v94_z020,4.036173387237546,35860.09427100703
3,NGC 1512,YSC2,1,v94_z040,4.036173387237546,32402.49592057778
4,NGC 1566,YSC1,1,v94_z020,4.070657604108203,109185.1081619031
5,NGC 1566,YSC1,1,v94_z040,4.070657604108203,149429.5868123577
6,NGC 1566,YSC2,1,v94_z020,4.04350668851791,35765.70076437134
7,NGC 1566,YSC2,1,v94_z040,4.04350668851791,41311.77998565112
8,M51,YSC1,1,v94_z020,4.024255636824909,709512.1627482193
9,M51,YSC1,1,v94_z040,4.024255636824909,834170.3034498405
10,M51,YSC2,1,v94_z020,4.010633613895818,241127.8698007341
11,M51,YSC2,1,v94_z040,4.010633613895818,311444.7656194958
12,NGC 1512,YSC1,2,v94_z020,4.055128664474345,2940.477260855306
13,NGC 1512,YSC1,2,v94_z040,4.055128664474345,2822.2666908265737
14,NGC 1512,YSC2,2,v94_z020,4.036173387237546,17209.33657809913
15,NGC 1512,YSC2,2,v94_z040,4.036173387237546,13172.226700515066
16,NGC 1566,YSC1,2,v94_z020,4.070657604108203,81365.06834023535
17,NGC 1566,YSC1,2,v94_z040,4.070657604108203,90215.01215492842
18,NGC 1566,YSC2,2,v94_z020,4.04350668851791,19377.657411898977
19,NGC 1566,YSC2,2,v94_z040,4.04350668851791,16828.521410658526
20,M51,YSC1,2,v94_z020,4.024255636824909,590146.1947192495
21,M51,YSC1,2,v94_z040,4.024255636824909,561810.5843445366
22,M51,YSC2,2,v94_z020,4.010633613895818,192433.26000982366
23,M51,YSC2,2,v94_z040,4.010633613895818,193142.10092745154
24,NGC 1512,YSC1,3,v94_z020,4.055128664474345,1948.7047470079121
25,NGC 1512,YSC1,3,v94_z040,4.055128664474345,1516.6937841016563
26,NGC 1512,YSC2,3,v94_z020,4.036173387237546,13918.993417209052
27,NGC 1512,YSC2,3,v94_z040,4.036173387237546,8254.425651691223
28,NGC 1566,YSC1,3,v94_z020,4.070657604108203,41046.42533910922
29,NGC 1566,YSC1,3,v94_z040,4.070657604108203,42960.80169643819
30,NGC 1566,YSC2,3,v94_z020,4.04350668851791,6895.55956782036
31,NGC 1566,YSC2,3,v94_z040,4.04350668851791,6048.937477151985
32,M51,YSC1,3,v94_z020,4.024255636824909,310282.0331083129
33,M51,YSC1,3,v94_z040,4.024255636824909,280898.63292492286
34,M51,YSC2,3,v94_z020,4.010633613895818,83149.37937400083
35,M51,YSC2,3,v94_z040,4.010633613895818,89615.55852216875
36,NGC 1512,YSC1,4,v94_z020,4.055128664474345,2191.127591629448
37,NGC 1512,YSC1,4,v94_z040,4.055128664474345,1902.2888908329503
38,NGC 1512,YSC2,4,v94_z020,4.036173387237546,16829.30877830357
39,NGC 1512,YSC2,4,v94_z040,4.036173387237546,10005.439367517212
40,NGC 1566,YSC1,4,v94_z020,4.070657604108203,38130.923522910045
41,NGC 1566,YSC1,4,v94_z040,4.070657604108203,51675.79941023267
42,NGC 1566,YSC2,4,v94_z020,4.04350668851791,8461.955562225934
43,NGC 1566,YSC2,4,v94_z040,4.04350668851791,8507.302692838608
44,M51,YSC1,4,v94_z020,4.024255636824909,364576.1947547539
45,M51,YSC1,4,v94_z040,4.024255636824909,328053.5336333897
46,M51,YSC2,4,v94_z020,4.010633613895818,95530.89820848394
47,M51,YSC2,4,v94_z040,4.010633613895818,116628.66360042302
48,NGC 1512,YSC1,5,v94_z020,4.055128664474345,2113.2982582718805
49,NGC 1512,YSC1,5,v94_z040,4.055128664474345,1741.8700805923038
50,NGC 1512,YSC2,5,v94_z020,4.036173387237546,17883.532744057422
51,NGC 1512,YSC2,5,v94_z040,4.036173387237546,10360.819011838394
52,NGC 1566,YSC1,5,v94_z020,4.070657604108203,32448.8405046118
53,NGC 1566,YSC1,5,v94_z040,4.070657604108203,47214.45733972503
54,NGC 1566,YSC2,5,v94_z020,4.04350668851791,8695.971640275679
55,NGC 1566,YSC2,5,v94_z040,4.04350668851791,8276.151436496973
56,M51,YSC1,5,v94_z020,4.024255636824909,334746.1880972707
57,M51,YSC1,5,v94_z040,4.024255636824909,290233.4853356011
58,M51,YSC2,5,v94_z020,4.010633613895818,86689.45252380492
59,M51,YSC2,5,v94_z040,4.010633613895818,103401.81619918712
60,NGC 1512,YSC1,6,v94_z020,4.055128664474345,2243.524836586782
61,NGC 1512,YSC1,6,v94_z040,4.055128664474345,1885.9134869890825
62,NGC 1512,YSC2,6,v94_z020,4.036173387237546,20541.300989797346
63,NGC 1512,YSC2,6,v94_z040,4.036173387237546,11805.404393937808
64,NGC 1566,YSC1,6,v94_z020,4.070657604108203,32448.044461691385
65,NGC 1566,YSC1,6,v94_z040,4.070657604108203,54137.318936556374
66,NGC 1566,YSC2,6,v94_z020,4.04350668851791,9898.145257034343
67,NGC 1566,YSC2,6,v94_z040,4.04350668851791,9871.44839562958
68,M51,YSC1,6,v94_z020,4.024255636824909,324548.23047934147
69,M51,YSC1,6,v94_z040,4.024255636824909,285384.8172320922
70,M51,YSC2,6,v94_z020,4.010633613895818,78990.45328626949
71,M51,YSC2,6,v94_z040,4.010633613895818,107871.72288491123
72,NGC 1512,YSC1,7,v94_z020,4.055128664474345,2334.0891471364203
73,NGC 1512,YSC1,7,v94_z040,4.055128664474345,1855.0913471922438
74,NGC 1512,YSC2,7,v94_z020,4.036173387237546,21036.68167291933
75,NGC 1512,YSC2,7,v94_z040,4.036173387237546,13254.335747485065
76,NGC 1566,YSC1,7,v94_z020,4.070657604108203,34239.64877556258
77,NGC 1566,YSC1,7,v94_z040,4.070657604108203,51163.54112213067
78,NGC 1566,YSC2,7,v94_z020,4.04350668851791,10623.16006802485
79,NGC 1566,YSC2,7,v94_z040,4.04350668851791,10542.310958482869
80,M51,YSC1,7,v94_z020,4.024255636824909,337661.46633085754
